112,1,0.3,0.915,1,
113,1,1,1,1,
114,0.95,0.55,0.87,0.95,
115,1,0,0.9,1,
116,1,1,1,1,
117,1,0.45,0.945,1,
118,1,1,1,1,
119,0.95,0.55,0.9,0.95,
120,1,1,1,1,
121,1,1,1,1,
122,1,1,1,1,
123,1,1,1,1,
124,1,1,1,1,
125,0.95,0.45,0.9,0.95,
126,1,1,1,1,
127,1,0.6,0.955,1,
128,1,0.5,0.95,1,
129,0.95,0.45,0.86,0.95,
130,1,0.5,0.875,1,
131,1,0.25,0.885,1,
132,0.95,0.5,0.905,0.95,
133,1,0.95,0.995,1,
134,1,0.95,0.995,1,
135,1,0.4,0.89,1,
136,1,0.05,0.905,1,
137,1,1,1,1,
138,1,1,1,1,
139,1,0.95,0.995,1,
140,0.95,0.8,0.935,0.95,
141,0.95,0.05,0.82,0.85,
142,1,0.9,0.98,1,
143,1,0.2,0.92,1,
144,1,1,1,1,
145,1,0.25,0.915,1,
146,1,1,1,1,
147,1,0.95,0.955,1,
148,1,0.9,0.92,0.9,
149,1,0.9,0.97,0.95,
150,0.95,0.75,0.905,0.95,
151,1,0.95,0.995,1,
152,1,1,1,1,
153,1,0.5,0.885,0.95,
154,1,0.95,0.975,1,
155,1,0.5,0.935,1,
156,0.95,0.9,0.945,0.95,
157,0.85,0.85,0.85,0.85,
158,0.95,0.1,0.865,0.95,
159,0.95,0.95,0.95,0.95,
160,0.95,0.1,0.865,0.95,
161,1,0.45,0.91,1,
162,1,0.7,0.94,1,
163,1,0.8,0.96,1,
164,1,0.75,0.95,1,
165,1,0.75,0.975,1,
166,1,0.95,0.985,1,
167,1,0.9,0.98,1,
168,1,0.85,0.985,1,
169,1,1,1,1,
170,1,0.95,0.96,0.95,
171,1,0.95,0.975,1,
172,1,1,1,1,
173,1,0.45,0.875,1,
174,1,0.9,0.99,1,
175,1,0.95,0.995,1,
176,1,1,1,1,
177,1,0.1,0.91,1,
178,1,0.25,0.885,1,
179,1,0.3,0.83,0.8,
180,1,0.65,0.895,1,
181,1,0.45,0.875,1,
182,1,1,1,1,
183,1,1,1,1,
184,1,0.1,0.86,1,
185,1,0.05,0.86,1,
186,1,0.6,0.96,1,
187,0.95,0.95,0.95,0.95,
188,1,1,1,1,
189,1,1,1,1,
190,1,1,1,1,
191,1,0.1,0.83,0.9,
192,0.95,0.75,0.79,0.75,
193,0.9,0.4,0.685,0.9,
194,0.95,0.55,0.91,0.95,
195,1,1,1,1,
196,1,0.05,0.865,1,
197,1,1,1,1,
198,0.9,0.6,0.87,0.9,
199,0.95,0.5,0.905,0.95,
200,1,0.95,0.975,1,
201,1,0.9,0.985,1,
202,1,1,1,1,
203,1,1,1,1,
204,0.95,0.5,0.865,0.9,
205,0.9,0.5,0.74,0.9,
206,0.95,0.55,0.835,0.95,
207,0.95,0.9,0.905,0.95,
208,0.9,0.75,0.78,0.75,
209,0.85,0.55,0.67,0.55,
210,0.7,0.2,0.58,0.7,
211,0.65,0.65,0.65,0.65,
212,0.95,0.7,0.725,0.95,
213,0.9,0.6,0.8,0.8,
214,0.8,0.4,0.655,0.7,
215,0.85,0.45,0.59,0.5,
216,0.95,0.45,0.65,0.45,
217,1,0.35,0.87,1,
218,1,0.5,0.91,0.95,
219,1,0.8,0.98,1,
220,1,0.8,0.98,1,
221,0.95,0.2,0.86,0.95,
222,1,1,1,1,
223,1,0.55,0.95,1,
224,1,0.05,0.905,1,
225,1,0.1,0.91,1,
226,1,1,1,1,
227,1,0.5,0.95,1,
228,0.95,0.5,0.86,0.95,
229,1,1,1,1,
